Epsi_AM,Sigma_AM,Epsi_CBD,Rho_CBD,Kn,Gamman,Xu,slurry_density,visco1(18),visco2(125)
0.0925313,0.702653,0.0719431,0.0916469,6.72384,5,0.0101632,1.48325,2.110580645,0.542486364
0.171595,0.70093,0.0685992,0.0801802,6.76919,5,0.013426,1.419839286,1.436151613,0.229695
0.26032,0.700334,0.0687823,0.0880624,9.09468,5,0.0111871,1.261348214,2.21183871,0.609663636
0.182391,0.700362,0.062316,0.082059,7.61058,5,0.010931,1.349919643,2.305435484,0.452433182
0.207158,0.7,0.0691157,0.054353,5.27334,5,0.0136606,1.461214286,1.134116129,0.269414545
0.237029,0.700052,0.0687183,0.0927095,6.27676,5,0.0108446,1.53753125,1.938693548,0.695145455
0.194884,0.700122,0.0739334,0.0896112,5.13245,5,0.0129728,1.678736607,1.24648871,0.618263636
0.263477,0.701153,0.0560699,0.0805185,4.78434,5,0.0107299,1.685169643,1.793306452,0.823777273
0.0237024,0.701984,0.0623693,0.08951,5.44847,5,0.0090081,1.6371875,1.144087097,0.646536364
0.259684,0.7,0.054387,0.0767038,6.53591,5,0.00912477,1.428366071,1.477117742,0.76315
0.270833,0.701116,0.0554955,0.0827286,7.37187,5,0.0125938,1.373299107,1.724,0.324279091
0.154857,0.700614,0.0662856,0.0591066,3.7165,5,0.011472,1.76628125,0.631493548,0.551345455
0.260344,0.7001,0.0746074,0.091358,6.26255,5,0.0112016,1.531691964,1.908870968,0.59525
0.265021,0.701471,0.0548567,0.0878822,4.67085,5,0.0101802,1.748446429,0.952051613,0.812045455
0.123502,0.700094,0.0586892,0.0882819,5.08077,5,0.00936537,1.683334821,1.926580645,0.756204545
0.213293,0.701285,0.0720245,0.0729906,6.01571,5,0.00996897,1.467995536,2.442290323,0.6939
0.255458,0.7,0.0659827,0.0847693,4.40895,5,0.00823165,1.780566964,2.418935484,0.950795455
0.185193,0.700739,0.0683654,0.0706315,5.95046,5,0.00911231,1.464486607,2.366096774,0.757486364
0.275375,0.700131,0.0730501,0.0893482,6.14806,5,0.00901955,1.536236607,1.660790323,0.766036364
0.245579,0.700076,0.0718555,0.0902971,5.37487,5,0.0136085,1.644116071,1.096435484,0.357171818
