Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
71.0,95.0,5.0,40.0,50.0,50.0,99.6,1.0,4.6,2.279,33.75,14.64,64.70000000000002,0.39607420795695,22.2945827376124,0.096349356239963,2.14476105895272,1.50963571764847
71.0,96.0,4.0,40.0,50.0,50.0,100.0,1.0,4.091000000000001,2.3270000000000004,32.67,12.620000000000001,67.20000000000002,0.40450922128552,22.2945827376124,0.110644296900146,2.02262206059362,1.52545075305629
81.0,93.0,7.0,40.0,50.0,50.0,98.6,1.0,5.473,2.2689999999999997,31.689999999999998,18.689999999999998,62.10000000000001,0.38626222591981,15.6468015943021,0.078974498593873,2.33944437847964,1.50632001911944
81.0,94.0,6.0,40.0,50.0,50.0,99.5,1.0,4.851,2.3140000000000005,31.929999999999996,16.160000000000004,64.5,0.39469723924838,15.6468015943021,0.091046425627487,2.20249858115732,1.52118374958451
81.0,95.0,5.0,40.0,50.0,50.0,100.0,1.0,4.276,2.362,31.240000000000002,14.290000000000001,67.01,0.40313225257695,15.6468015943021,0.105496957585034,2.06784912409005,1.53687995627505
81.0,96.0,4.0,40.0,50.0,50.0,101.0,1.0,3.821,2.395,34.529999999999994,12.349999999999998,69.60000000000001,0.41156726590552,15.6468015943021,0.120529644215723,1.95473783408415,1.54757875405422
91.0,93.0,7.0,40.0,50.0,50.0,99.4,1.0,5.013,2.3529999999999998,29.3,19.150000000000002,64.5,0.39448751093981,10.5328702830664,0.088057355823189,2.23897297884543,1.53394915169963
91.0,94.0,6.0,40.0,50.0,50.0,100.0,1.0,4.462999999999999,2.3950000000000005,33.230000000000004,15.77,67.0,0.40292252426838,10.5328702830664,0.101024043167447,2.11258135938004,1.54757875405422
91.0,95.0,5.0,40.0,50.0,50.0,101.0,1.0,3.9900000000000007,2.4720000000000004,33.01,13.830000000000002,69.60000000000001,0.41135753759695,10.5328702830664,0.115365685356137,1.99749843554382,1.57225952056268
91.0,96.0,4.0,40.0,50.0,50.0,102.0,1.0,3.7090000000000005,2.4490000000000003,32.89,11.995999999999999,70.85999999999999,0.41979255092552,10.5328702830664,0.126650812748896,1.92587642386525,1.56492811336496
1.0,93.0,7.0,45.0,50.0,50.0,87.7,1.0,13.430000000000001,1.858,34.989999999999995,21.830000000000002,47.660000000000004,0.32666731371866,174.20989644446,0.02721822219294,3.66469644036174,1.3630847369111
1.0,93.0,7.0,46.0,50.0,50.0,86.0,1.0,16.87,1.812,33.84000000000001,23.34,45.699999999999996,0.31950465643043,174.20989644446,0.02119298817698,4.10731055558257,1.34610549363711
1.0,93.0,7.0,47.0,50.0,50.0,84.2,1.0,18.26,1.8010000000000002,36.17999999999999,22.12,45.10000000000001,0.3123419991422,174.20989644446,0.019140782970434,4.2731721238443,1.34201341274966
1.0,93.0,7.0,48.0,50.0,50.0,82.5,1.0,25.29,1.7570000000000001,34.129999999999995,24.29,43.199999999999996,0.30517934185397,174.20989644446,0.013503190333515,5.02891638427206,1.32551876637036
1.0,93.0,7.0,49.0,50.0,50.0,80.8,1.0,36.309999999999995,1.7129999999999999,34.91,24.73,41.39999999999999,0.29801668456574,174.20989644446,0.009184265216994,6.02577795807313,1.30881625906771
