,Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,"CC,AM","CC,CBD",Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
148,41,94,6,50,50,50,"83,1",1,"10,836","1,876","36,69","19,53","49,3","0,33063706156608","56,7729093620084","0,034143860455191","3,29180801384285","1,36967149346111"
149,41,95,5,45,50,50,91,1,"6,502","2,038","38,08","15,44","56,27","0,3604877956958","56,7729093620084","0,062040271206337","2,5499019588996","1,42758537397943"
150,41,95,5,46,50,50,"89,6",1,"7,175","1,985","35,58","16,36","54,4","0,35620465153557","56,7729093620084","0,055553032065269","2,67861904719577","1,40890028036054"
151,41,95,5,47,50,50,"88,2",1,"7,329","1,975","36,29","16,84",54,"0,35192150737534","56,7729093620084","0,053731773332379","2,70721258862321","1,40534693225552"
152,41,95,5,48,50,50,"86,8",1,"8,315","1,93","36,28","17,26","52,2","0,34763836321511","56,7729093620084","0,046783803780843","2,88357417105924","1,38924439894498"
153,41,95,5,49,50,50,"85,3",1,"8,343","1,914","34,89","17,78","51,8","0,34335521905488","56,7729093620084","0,046052318125664","2,88842517645862","1,3834738884417"
154,41,95,5,50,50,50,"83,9",1,"9,899","1,879","38,29","17,13",50,"0,33907207489465","56,7729093620084","0,038329291020014","3,14626763006582","1,37076620909621"
155,41,96,4,45,50,50,"91,9",1,"5,903","2,034","37,27","13,61","57,1","0,36892280902437","56,7729093620084","0,069934715110668","2,42960902204449","1,42618371888057"
156,41,96,4,46,50,50,"90,5",1,"6,094","2,019","37,6","13,33","56,69","0,36463966486414","56,7729093620084","0,066956315225299","2,46860284371545","1,42091519803259"
157,41,96,4,47,50,50,89,1,"6,145","2,001","38,34","13,61","56,21","0,36035652070391","56,7729093620084","0,065620658530134","2,47891105124811","1,41456707158056"
158,41,96,4,48,50,50,"87,6",1,"6,832","1,957","38,92","13,91","54,39","0,35607337654368","56,7729093620084","0,058320566210828","2,61380948043273","1,39892816112908"
159,41,96,4,49,50,50,"86,2",1,"6,954","1,945","40,11","13,79","53,97","0,35179023238345","56,7729093620084","0,056608178032367","2,63704379940872","1,39463256809814"
160,41,96,4,50,50,50,"84,8",1,"7,813","1,898","39,48","14,15","52,1","0,34750708822322","56,7729093620084","0,049770949919593","2,7951744131628","1,37767920794356"
161,51,93,7,45,50,50,"90,1",1,"8,194","2,024","32,29","21,14","53,9","0,35077348386866","42,1699061133102","0,047902798199784","2,86251637549901","1,4226735395023"
162,51,93,7,46,50,50,"88,7",1,"9,239","1,979","33,35","21,36","52,2","0,34721021799043","42,1699061133102","0,042053061362841","3,03957233833972","1,40676934854297"
